INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR
;problem_10_50_1_1_5.txt;50;159;0
;problem_10_50_1_2_5.txt;61;214;0
;problem_10_50_1_3_5.txt;100;184;0
;problem_10_50_1_4_5.txt;221;246;0
;problem_10_50_1_5_5.txt;242;213;0
;problem_10_50_2_1_5.txt;48;63;1
;problem_10_50_2_2_5.txt;30;45;0
;problem_10_50_2_3_5.txt;102;113;0
;problem_10_50_2_4_5.txt;185;195;0
;problem_10_50_2_5_5.txt;222;226;0
;problem_10_50_3_1_5.txt;43;73;0
;problem_10_50_3_2_5.txt;66;126;0
;problem_10_50_3_3_5.txt;112;182;0
;problem_10_50_3_4_5.txt;213;283;0
;problem_10_50_3_5_5.txt;197;287;0
;problem_10_50_4_1_5.txt;35;35;0
;problem_10_50_4_2_5.txt;50;50;0
;problem_10_50_4_3_5.txt;92;92;0
;problem_10_50_4_4_5.txt;229;229;0
;problem_10_50_4_5_5.txt;168;168;0
;problem_10_100_1_1_5.txt;86;198;0
;problem_10_100_1_2_5.txt;145;371;0
;problem_10_100_1_3_5.txt;321;323;0
;problem_10_100_1_4_5.txt;462;507;0
;problem_10_100_1_5_5.txt;433;481;0
;problem_10_100_2_1_5.txt;100;117;0
;problem_10_100_2_2_5.txt;82;94;0
;problem_10_100_2_3_5.txt;273;294;0
;problem_10_100_2_4_5.txt;441;481;0
;problem_10_100_2_5_5.txt;425;426;0
;problem_10_100_3_1_5.txt;91;141;0
;problem_10_100_3_2_5.txt;123;183;0
;problem_10_100_3_3_5.txt;188;248;0
;problem_10_100_3_4_5.txt;363;433;0
;problem_10_100_3_5_5.txt;421;501;0
;problem_10_100_4_1_5.txt;85;85;0
;problem_10_100_4_2_5.txt;117;117;0
;problem_10_100_4_3_5.txt;192;192;0
;problem_10_100_4_4_5.txt;429;429;0
;problem_10_100_4_5_5.txt;468;468;0
;problem_10_500_1_1_5.txt;291;873;0
;problem_10_500_1_2_5.txt;722;1390;0
;problem_10_500_1_3_5.txt;782;2348;0
;problem_10_500_1_4_5.txt;1357;2348;0
;problem_10_500_1_5_5.txt;2805;2814;0
;problem_10_500_2_1_5.txt;326;375;0
;problem_10_500_2_2_5.txt;740;831;0
;problem_10_500_2_3_5.txt;714;778;0
;problem_10_500_2_4_5.txt;1289;1493;0
;problem_10_500_2_5_5.txt;2754;2878;0
;problem_10_500_3_1_5.txt;497;537;0
;problem_10_500_3_2_5.txt;977;1017;0
;problem_10_500_3_3_5.txt;722;792;0
;problem_10_500_3_4_5.txt;1562;1642;0
;problem_10_500_3_5_5.txt;2771;2851;0
;problem_10_500_4_1_5.txt;485;485;0
;problem_10_500_4_2_5.txt;1098;1098;0
;problem_10_500_4_3_5.txt;792;792;0
;problem_10_500_4_4_5.txt;1600;1600;0
;problem_10_500_4_5_5.txt;3068;3068;0
